{'timestamp': '2025-11-04T10:25:08.802243', 'username': 'hunterssk', 'platform': 'instagram', 'reason': 'Suspected fake account based on analysis'}
{'timestamp': '2025-11-06T16:31:12.048206', 'username': 'SHREENIDHI', 'platform': 'instagram', 'reason': 'Suspected fake account based on analysis'}
{'timestamp': '2025-11-06T16:34:32.504343', 'username': 'spam_bot', 'platform': 'twitter', 'reason': 'Suspected fake account based on analysis'}
{'timestamp': '2025-11-12T07:37:04.184311', 'username': 'shreenidhi', 'platform': 'instagram', 'reason': 'Suspected fake account based on analysis'}
{'timestamp': '2025-11-12T07:56:18.479067', 'username': 'Miley Cyrus', 'platform': 'instagram', 'reason': 'Suspected fake account based on analysis'}
{'timestamp': '2025-11-12T08:03:11.288874', 'username': 'Ravindrasinh jadeja', 'platform': 'instagram', 'reason': 'Suspected fake account based on analysis'}
{'timestamp': '2025-11-12T14:04:00.890766', 'username': 'feat.dino', 'platform': 'facebook', 'reason': 'Suspected fake account based on analysis'}
{'timestamp': '2025-11-12T14:52:30.882316', 'username': 'shreenidhi', 'platform': 'instagram', 'reason': 'Suspected fake account based on analysis'}
{'timestamp': '2025-11-12T16:15:46.168026', 'username': 'Marshall Mathers', 'platform': 'instagram', 'reason': 'Suspected fake account based on analysis'}
{'timestamp': '2025-11-15T08:43:57.427587', 'username': 'itsaj_22', 'platform': 'instagram', 'reason': 'Suspected fake account based on analysis'}
{'timestamp': '2025-11-15T08:47:24.158748', 'username': '___money_real___', 'platform': 'instagram', 'reason': 'Suspected fake account based on analysis'}
